year,month,monthly_revenue,cumulative_revenue
2016,10,46566.71,46566.71
2016,12,19.62,46586.33
2017,1,127545.67,174132
2017,2,271298.65,445430.65
2017,3,414369.39,859800.04
2017,4,390952.18,1250752.22
2017,5,567066.73,1817818.95
2017,6,490225.6,2308044.55
2017,7,566403.93,2874448.48
2017,8,646000.61,3520449.09
2017,9,701169.99,4221619.08
2017,10,751140.27,4972759.35
2017,11,1153528.05,6126287.4
2017,12,843199.17,6969486.57
2018,1,1078606.86,8048093.43
2018,2,966510.88,9014604.31
2018,3,1120678,10135282.31
2018,4,1132933.95,11268216.26
2018,5,1128836.69,12397052.95
2018,6,1012090.68,13409143.63
2018,7,1027903.86,14437047.49
2018,8,985414.28,15422461.77
